DESC (0)|NTACODE (1)|NTANAME (2)|***EMPLOYMENT STATUS (3)|POPULATION 16 YEARS AND OVER (4)|   IN LABOR FORCE (5)|       CIVILIAN LABOR FORCE (6)|          EMPLOYED (7)|          UNEMPLOYED (8)|       ARMED FORCES (9)|   NOT IN LABOR FORCE (10)|CIVILIAN LABOR FORCE (11)|   UNEMPLOYMENT RATE (12)|FEMALES 16 YEARS AND OVER (13)|   IN LABOR FORCE (14)|      CIVILIAN LABOR FORCE (15)|        EMPLOYED (16)|OWN CHILDREN UNDER 6 YEARS (17)|      ALL PARENTS IN FAMILY IN LABOR FORCE (18)|OWN CHILDREN 6 TO 17 YEARS (19)|      ALL PARENTS IN FAMILY IN LABOR FORCE (20)|***OCCUPATION (21)|CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (22)|   MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS (23)|   SERVICE OCCUPATIONS (24)|   SALES AND OFFICE OCCUPATIONS (25)|   NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS (26)|   PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS (27)|***INDUSTRY (28)|CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (29)|   AGRICULTURE, FORESTRY, FISHING, HUNTING, AND MINING (30)|   CONSTRUCTION (31)|   MANUFACTURING (32)|   WHOLESALE TRADE (33)|   RETAIL TRADE (34)|   TRANSPORTATION AND WAREHOUSING, AND UTILITIES (35)|   INFORMATION (36)|   FINANCE AND INSURANCE, AND REAL ESTATE AND RENTAL AND LEASING (37)|   PROFESSIONAL, SCIENTIFIC, AND MANAGEMENT, AND ADMINISTRATIVE AND WASTE MANAGEMENT SERVICES (38)|   EDUCATIONAL SERVICES, AND HEALTH CARE AND SOCIAL ASSISTANCE (39)|   ARTS, ENTERTAINMENT, AND RECREATION, AND ACCOMMODATION AND FOOD SERVICES (40)|   OTHER SERVICES, EXCEPT PUBLIC ADMINISTRATION (41)|   PUBLIC ADMINISTRATION (42)|***CLASS OF WORKER (43)|CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (44)|   PRIVATE WAGE AND SALARY WORKERS (45)|   GOVERNMENT WORKERS (46)|   SELF-EMPLOYED IN OWN NOT INCORPORATED BUSINESS WORKERS (47)|   UNPAID FAMILY WORKERS (48)|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) (49)|TOTAL HOUSEHOLDS (50)|   LESS THAN $10,000 (51)|   $10,000 TO $14,999 (52)|   $15,000 TO $24,999 (53)|   $25,000 TO $34,999 (54)|   $35,000 TO $49,999 (55)|   $50,000 TO $74,999 (56)|   $75,000 TO $99,999 (57)|   $100,000 TO $149,999 (58)|   $150,000 TO $199,999 (59)|   $200,000 OR MORE (60)|   WITH EARNINGS (61)|   WITH SOCIAL SECURITY (62)|   WITH RETIREMENT INCOME (63)|   WITH SUPPLEMENTAL SECURITY INCOME (64)|   WITH CASH PUBLIC ASSISTANCE INCOME (65)|   WITH FOOD STAMP/SNAP BNFTS IN THE PAST 12 MO (66)|FAMILIES (67)|   LESS THAN $10,000 (68)|   $10,000 TO $14,999 (69)|   $15,000 TO $24,999 (70)|   $25,000 TO $34,999 (71)|   $35,000 TO $49,999 (72)|   $50,000 TO $74,999 (73)|   $75,000 TO $99,999 (74)|   $100,000 TO $149,999 (75)|   $150,000 TO $199,999 (76)|   $200,000 OR MORE (77)|NONFAMILY HOUSEHOLDS (78)|***HEALTH INSURANCE COVERAGE (79)|CIVILIAN NONINSTITUTIONALIZED POPULATION (80)|   WITH HEALTH INSURANCE COVERAGE (81)|      WITH PRIVATE HEALTH INSURANCE (82)|      WITH PUBLIC COVERAGE (83)|   NO HEALTH INSURANCE COVERAGE (84)|CIVILIAN NONINSTITUTIONALIZED POPULATION UNDER 18 YEARS (85)|   NO HEALTH INSURANCE COVERAGE (86)|CIVILIAN NONINSTITUTIONALIZED POPULATION 18 TO 64 YEARS (87)|   IN LABOR FORCE: (88)|      EMPLOYED: (89)|         WITH HEALTH INSURANCE COVERAGE (90)|            WITH PRIVATE HEALTH INSURANCE (91)|            WITH PUBLIC COVERAGE (92)|         NO HEALTH INSURANCE COVERAGE (93)|      UNEMPLOYED: (94)|         WITH HEALTH INSURANCE COVERAGE (95)|           WITH PRIVATE HEALTH INSURANCE (96)|           WITH PUBLIC COVERAGE (97)|         NO HEALTH INSURANCE COVERAGE (98)|    NOT IN LABOR FORCE: (99)|        WITH HEALTH INSURANCE COVERAGE (100)|          WITH PRIVATE HEALTH INSURANCE (101)|          WITH PUBLIC COVERAGE (102)|        NO HEALTH INSURANCE COVERAGE (103)
DATA|BK40|Windsor Terrace|***EMPLOYMENT STATUS|18,753|13,787|13,787|12,979|808|0|4,966|13,787||9,898|6,834|6,834|6,432|1,929|1,307|2,216|1,492|***OCCUPATION|12,979|7,977|1,582|2,331|529|560|***INDUSTRY|12,979|0|581|469|227|678|525|1,034|1,161|2,081|3,386|1,364|686|787|***CLASS OF WORKER|12,979|9,194|2,230|1,555|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|9,510|611|300|635|740|776|1,391|1,356|1,858|841|1,002|8,068|1,795|996|381|144|624|5,467|221|129|266|235|418|662|798|1,239|758|741|4,043|***HEALTH INSURANCE COVERAGE|22,563|20,751|17,533|4,798|1,812|4,183|81|15,810|13,278|12,535|11,669|11,163|697|866|743|418|339|98|325|2,532|2,019|1,469|701|513
DATA|BK61|Crown Heights North|***EMPLOYMENT STATUS|80,344|49,719|49,622|43,139|6,483|97|30,625|49,622||45,591|27,116|27,095|24,075|6,982|4,277|14,090|10,321|***OCCUPATION|43,139|14,277|12,226|10,527|2,376|3,733|***INDUSTRY|43,139|39|1,799|1,236|734|3,620|3,086|1,814|3,812|4,558|13,732|3,719|2,612|2,378|***CLASS OF WORKER|43,139|32,554|8,219|2,338|28|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|40,818|6,695|3,759|4,918|4,495|6,357|6,412|3,401|3,290|907|584|30,494|8,847|3,632|3,231|2,891|10,880|22,559|3,136|1,657|2,681|2,556|3,628|3,739|2,038|1,972|673|479|18,259|***HEALTH INSURANCE COVERAGE|99,659|82,752|47,835|42,663|16,907|22,721|1,069|66,064|47,999|41,850|32,969|27,736|6,219|8,881|6,149|3,980|1,093|3,119|2,169|18,065|13,592|5,188|9,632|4,473
DATA|BK64|Prospect Heights|***EMPLOYMENT STATUS|17,669|14,043|14,043|12,988|1,055|0|3,626|14,043||9,448|7,362|7,362|6,847|1,360|1,101|1,507|1,108|***OCCUPATION|12,988|8,768|1,383|2,102|302|433|***INDUSTRY|12,988|0|142|276|156|679|391|1,701|1,191|2,350|3,630|1,219|577|676|***CLASS OF WORKER|12,988|9,611|2,058|1,289|30|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|9,394|542|250|720|576|769|1,623|1,080|1,937|850|1,047|8,276|1,354|743|120|189|680|4,055|228|47|349|206|272|530|340|886|479|718|5,339|***HEALTH INSURANCE COVERAGE|20,435|18,509|15,559|4,026|1,926|2,981|32|15,817|13,743|12,705|11,614|11,148|683|1,091|1,038|693|462|244|345|2,074|1,629|1,031|631|445
DATA|BK60|Prospect Lefferts Gardens-Wingate|***EMPLOYMENT STATUS|55,841|36,910|36,910|31,399|5,511|0|18,931|36,910||31,582|20,358|20,358|17,604|5,410|3,952|8,668|6,756|***OCCUPATION|31,399|8,997|10,816|7,196|1,968|2,422|***INDUSTRY|31,399|17|1,662|722|362|2,787|2,489|835|1,960|2,715|12,006|2,377|2,190|1,277|***CLASS OF WORKER|31,399|23,270|5,982|2,136|11|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|26,016|2,851|1,836|3,239|3,401|3,974|5,219|2,316|2,022|771|387|21,128|5,944|2,631|1,558|1,215|5,417|16,019|1,321|861|1,593|2,233|2,586|3,187|1,716|1,608|659|255|9,997|***HEALTH INSURANCE COVERAGE|68,838|57,203|35,047|26,990|11,635|15,262|702|45,330|35,435|30,064|23,978|19,915|4,813|6,086|5,371|3,081|1,381|1,902|2,290|9,895|7,599|3,222|4,932|2,296
DATA|BK63|Crown Heights South|***EMPLOYMENT STATUS|31,226|19,873|19,859|16,742|3,117|14|11,353|19,859||16,926|10,445|10,445|8,938|3,402|1,895|7,217|4,739|***OCCUPATION|16,742|5,523|5,180|3,951|688|1,400|***INDUSTRY|16,742|0|519|364|230|1,598|1,237|493|1,285|1,508|5,906|1,339|1,198|1,065|***CLASS OF WORKER|16,742|12,504|3,234|986|18|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|14,662|2,083|1,204|2,115|1,641|1,917|2,205|1,551|1,336|324|286|11,305|3,485|1,593|1,091|644|3,494|8,910|749|562|1,101|1,044|1,221|1,433|1,240|1,021|297|242|5,752|***HEALTH INSURANCE COVERAGE|41,211|35,608|21,066|17,751|5,603|11,164|182|26,030|19,144|16,125|13,134|10,717|2,951|2,991|3,019|1,729|546|1,227|1,290|6,886|5,756|2,728|3,442|1,130
DATA|BK30|Dyker Heights|***EMPLOYMENT STATUS|37,024|21,774|21,774|19,964|1,810|0|15,250|21,774||18,925|9,839|9,839|9,170|3,023|1,851|5,843|3,491|***OCCUPATION|19,964|5,869|5,078|4,739|2,406|1,872|***INDUSTRY|19,964|38|2,303|1,284|620|1,944|750|386|1,846|1,669|4,449|2,744|1,146|785|***CLASS OF WORKER|19,964|16,311|2,566|980|107|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|14,966|793|744|1,647|1,783|1,885|2,860|1,678|2,063|907|606|11,555|4,869|2,430|813|684|2,114|10,939|425|393|1,102|1,387|1,477|2,170|1,146|1,550|770|519|4,027|***HEALTH INSURANCE COVERAGE|44,934|40,363|24,920|20,776|4,571|9,293|427|28,612|21,103|19,354|16,435|12,029|5,002|2,919|1,749|1,326|653|757|423|7,509|6,766|3,640|3,545|743
DATA|BK31|Bay Ridge|***EMPLOYMENT STATUS|68,656|42,512|42,180|38,593|3,587|332|26,144|42,180||36,375|19,495|19,451|17,709|6,193|2,867|10,568|5,468|***OCCUPATION|38,593|18,086|5,650|9,353|2,222|3,282|***INDUSTRY|38,593|58|2,026|1,719|723|3,364|2,410|1,322|4,482|4,898|10,073|3,128|2,020|2,370|***CLASS OF WORKER|38,593|30,088|6,563|1,942|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|34,990|2,495|1,683|3,626|3,151|4,614|5,995|4,388|4,464|2,481|2,093|26,983|9,434|5,193|1,208|939|3,892|19,449|750|589|1,714|1,509|2,433|3,370|2,500|3,005|1,940|1,639|15,541|***HEALTH INSURANCE COVERAGE|83,453|74,103|54,113|28,715|9,350|17,032|448|54,687|40,682|37,219|32,212|29,197|3,882|5,007|3,463|2,198|1,467|849|1,265|14,005|11,605|6,598|5,895|2,400
DATA|BK27|Bath Beach|***EMPLOYMENT STATUS|24,097|13,403|13,403|12,340|1,063|0|10,694|13,403||12,435|5,854|5,854|5,418|2,094|663|3,506|1,770|***OCCUPATION|12,340|4,200|2,381|3,439|986|1,334|***INDUSTRY|12,340|10|778|784|396|1,382|1,067|276|1,155|1,529|2,785|1,264|598|316|***CLASS OF WORKER|12,340|10,008|1,841|491|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|10,726|966|868|1,096|1,244|1,386|1,654|1,234|1,497|421|360|7,365|3,371|1,761|1,009|496|1,637|7,451|399|477|495|794|1,110|1,288|919|1,297|360|312|3,275|***HEALTH INSURANCE COVERAGE|29,100|25,586|16,376|11,861|3,514|5,690|299|18,358|12,915|11,886|9,968|8,086|2,004|1,918|1,029|688|360|336|341|5,443|4,500|2,530|2,236|943
DATA|BK28|Bensonhurst West|***EMPLOYMENT STATUS|70,769|40,401|40,380|36,452|3,928|21|30,368|40,380||36,655|17,230|17,230|15,776|6,202|2,418|11,655|6,413|***OCCUPATION|36,452|9,166|9,292|9,070|3,735|5,189|***INDUSTRY|36,452|55|3,002|2,416|1,220|3,885|2,683|810|3,450|3,793|7,032|4,954|2,145|1,007|***CLASS OF WORKER|36,452|30,616|3,878|1,928|30|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|29,717|2,347|2,113|3,800|3,855|4,469|5,735|2,538|3,062|1,207|591|22,551|8,572|3,719|2,559|1,469|5,421|21,426|832|1,162|2,375|2,712|3,665|4,466|2,076|2,559|1,056|523|8,291|***HEALTH INSURANCE COVERAGE|86,412|73,606|42,338|37,820|12,806|18,128|897|55,182|39,133|35,403|28,244|21,558|7,460|7,159|3,730|2,521|1,245|1,354|1,209|16,049|12,935|6,488|7,190|3,114
DATA|BK29|Bensonhurst East|***EMPLOYMENT STATUS|50,708|29,723|29,723|26,753|2,970|0|20,985|29,723||26,024|12,622|12,622|11,301|4,064|1,713|7,319|4,209|***OCCUPATION|26,753|7,199|6,361|6,346|2,994|3,853|***INDUSTRY|26,753|10|2,516|1,584|1,042|2,825|1,987|450|2,170|2,708|6,199|2,686|1,793|783|***CLASS OF WORKER|26,753|21,790|3,484|1,479|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|21,737|1,618|1,504|2,797|2,769|3,738|3,582|2,375|2,129|730|495|16,192|6,333|3,136|1,935|1,063|4,286|15,789|667|786|1,556|2,187|2,957|2,646|1,996|1,837|695|462|5,948|***HEALTH INSURANCE COVERAGE|61,057|52,762|31,798|26,080|8,295|11,616|769|39,244|28,828|25,988|21,146|16,830|4,924|4,842|2,840|1,967|809|1,281|873|10,416|8,662|4,505|4,627|1,754
DATA|BK41|Kensington-Ocean Parkway|***EMPLOYMENT STATUS|27,534|16,958|16,891|15,434|1,457|67|10,576|16,891||14,094|7,575|7,575|6,983|3,420|1,382|6,045|2,828|***OCCUPATION|15,434|5,397|3,354|3,773|1,303|1,607|***INDUSTRY|15,434|0|1,225|580|231|1,836|1,005|782|948|1,600|4,394|1,346|982|505|***CLASS OF WORKER|15,434|12,101|1,911|1,403|19|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|12,037|1,027|1,185|1,803|1,269|1,506|2,064|1,272|989|590|332|9,848|2,325|1,151|1,054|372|2,668|8,026|413|722|1,254|878|1,032|1,413|802|712|518|282|4,011|***HEALTH INSURANCE COVERAGE|36,020|30,394|14,419|18,072|5,626|9,656|328|22,754|16,377|14,953|11,480|8,078|3,740|3,473|1,424|902|415|576|522|6,377|5,239|1,789|3,744|1,138
DATA|BK46|Ocean Parkway South|***EMPLOYMENT STATUS|14,629|8,293|8,260|7,409|851|33|6,336|8,260||7,394|3,432|3,432|3,105|1,944|574|3,429|1,158|***OCCUPATION|7,409|3,063|1,112|2,193|445|596|***INDUSTRY|7,409|12|363|320|564|928|441|107|717|943|2,193|352|293|176|***CLASS OF WORKER|7,409|5,969|738|702|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|6,607|591|351|884|560|774|1,279|703|883|231|351|4,947|1,872|698|359|111|1,007|4,740|143|234|524|384|560|1,044|537|784|199|331|1,867|***HEALTH INSURANCE COVERAGE|19,508|17,586|12,359|6,779|1,922|5,557|309|11,319|7,881|7,056|6,124|5,233|986|932|825|489|333|164|336|3,438|3,093|1,919|1,266|345
DATA|BK88|Borough Park|***EMPLOYMENT STATUS|69,634|38,529|38,510|35,800|2,710|19|31,105|38,510||34,384|16,176|16,176|15,078|15,769|5,908|23,995|10,917|***OCCUPATION|35,800|12,119|6,876|11,021|2,834|2,950|***INDUSTRY|35,800|39|2,732|2,023|1,949|4,569|1,030|488|2,729|3,107|11,144|3,368|2,149|473|***CLASS OF WORKER|35,800|30,690|2,651|2,399|60|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|28,325|2,375|2,731|4,719|4,078|3,705|4,138|2,298|2,468|1,114|699|22,569|6,520|2,180|1,765|1,987|8,141|22,238|1,389|1,914|3,449|3,424|2,934|3,535|2,001|2,020|982|590|6,087|***HEALTH INSURANCE COVERAGE|105,873|95,139|40,945|62,786|10,734|40,283|619|55,830|37,267|34,657|27,992|16,585|12,658|6,665|2,610|1,855|694|1,286|755|18,563|15,980|6,574|10,261|2,583
DATA|BK19|Brighton Beach|***EMPLOYMENT STATUS|26,886|14,225|14,181|13,095|1,086|44|12,661|14,181||14,724|6,814|6,814|6,416|1,788|939|3,175|1,978|***OCCUPATION|13,095|4,841|3,035|2,845|992|1,382|***INDUSTRY|13,095|8|732|669|393|1,203|867|293|1,246|1,257|4,440|844|711|432|***CLASS OF WORKER|13,095|10,755|1,709|625|6|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|13,764|2,928|1,318|1,531|1,504|1,509|1,406|1,384|1,239|523|422|8,760|2,558|1,330|3,023|342|4,240|7,845|472|920|796|814|997|1,025|919|1,027|491|384|5,919|***HEALTH INSURANCE COVERAGE|31,530|27,532|17,218|12,585|3,998|5,254|295|19,508|13,605|12,561|10,806|9,517|1,512|1,755|1,044|640|359|318|404|5,903|4,439|2,572|2,246|1,464
DATA|BK21|Seagate-Coney Island|***EMPLOYMENT STATUS|24,744|12,332|12,322|9,752|2,570|10|12,412|12,322||13,507|6,313|6,303|5,022|1,783|1,046|4,403|3,181|***OCCUPATION|9,752|1,779|2,976|2,813|819|1,365|***INDUSTRY|9,752|0|576|370|424|1,421|862|220|526|894|2,484|1,004|576|395|***CLASS OF WORKER|9,752|7,601|1,488|663|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|11,215|2,455|1,172|1,668|1,424|1,462|1,422|708|559|284|61|6,697|3,412|1,161|2,654|1,207|5,195|7,427|784|780|1,059|1,009|1,236|1,138|642|500|227|52|3,788|***HEALTH INSURANCE COVERAGE|29,406|26,705|12,814|16,234|2,701|6,455|175|17,294|11,816|9,290|8,034|6,175|2,143|1,256|2,526|1,694|501|1,235|832|5,478|5,066|1,947|3,596|412
DATA|BK23|West Brighton|***EMPLOYMENT STATUS|14,340|6,833|6,771|6,332|439|62|7,507|6,771||8,330|3,899|3,899|3,674|441|278|825|614|***OCCUPATION|6,332|2,602|1,356|1,451|400|523|***INDUSTRY|6,332|15|358|361|73|312|479|155|579|599|2,518|348|357|178|***CLASS OF WORKER|6,332|5,041|1,046|245|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|8,026|920|831|1,081|701|1,092|1,517|606|884|196|198|4,452|3,662|1,722|1,218|189|1,908|4,649|80|326|470|435|813|930|501|782|114|198|3,377|***HEALTH INSURANCE COVERAGE|15,410|14,441|10,033|7,342|969|1,287|19|8,157|6,207|5,830|5,258|4,925|384|572|377|295|194|110|82|1,950|1,654|1,042|738|296
DATA|BK26|Gravesend|***EMPLOYMENT STATUS|23,169|12,094|12,094|10,646|1,448|0|11,075|12,094||12,597|5,976|5,976|5,244|1,687|851|3,333|1,935|***OCCUPATION|10,646|3,266|2,397|2,636|927|1,420|***INDUSTRY|10,646|0|735|689|580|984|916|221|863|1,078|2,744|800|697|339|***CLASS OF WORKER|10,646|8,388|1,806|452|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|11,068|1,382|930|1,730|1,452|1,521|1,552|938|956|364|243|6,729|3,976|2,092|1,660|548|2,802|7,477|278|505|972|1,130|1,229|1,266|799|779|289|230|3,591|***HEALTH INSURANCE COVERAGE|27,759|24,067|13,689|13,665|3,692|5,203|589|16,315|11,683|10,326|8,643|6,907|2,051|1,683|1,357|916|249|682|441|4,632|3,653|1,442|2,385|979
DATA|BK42|Flatbush|***EMPLOYMENT STATUS|82,598|53,478|53,410|47,909|5,501|68|29,120|53,410||45,480|27,066|27,056|24,347|8,585|4,677|15,921|10,598|***OCCUPATION|47,909|14,208|15,101|10,975|2,873|4,752|***INDUSTRY|47,909|0|2,281|1,487|1,057|4,803|3,303|1,468|3,644|5,298|15,543|3,992|3,270|1,763|***CLASS OF WORKER|47,909|36,383|7,351|4,175|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|37,482|4,345|2,696|3,974|4,535|5,661|6,848|3,792|3,441|1,276|914|30,694|6,539|2,857|2,739|1,924|9,497|23,765|1,718|1,447|2,377|3,058|3,876|4,561|2,442|2,516|1,064|706|13,717|***HEALTH INSURANCE COVERAGE|104,778|86,623|48,666|43,630|18,155|25,572|1,272|69,544|51,300|46,009|35,325|27,671|8,447|10,684|5,291|3,163|1,413|1,997|2,128|18,244|14,466|5,729|9,551|3,778
DATA|BK43|Midwood|***EMPLOYMENT STATUS|39,662|22,255|22,255|20,414|1,841|0|17,407|22,255||20,453|10,260|10,260|9,615|4,373|2,138|8,723|4,347|***OCCUPATION|20,414|8,983|3,239|5,470|1,245|1,477|***INDUSTRY|20,414|45|1,137|641|964|1,872|1,151|363|2,182|2,574|6,683|1,199|1,003|600|***CLASS OF WORKER|20,414|15,687|2,765|1,915|47|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|18,430|2,601|1,319|2,024|1,806|1,883|2,887|1,835|2,148|1,009|918|13,793|4,444|1,862|1,893|410|3,785|12,300|748|649|1,355|1,289|1,221|1,970|1,426|1,838|958|846|6,130|***HEALTH INSURANCE COVERAGE|51,297|46,366|30,955|19,059|4,931|13,310|333|31,123|21,155|19,383|16,651|13,903|3,029|2,732|1,772|1,255|728|571|517|9,968|8,696|5,277|3,738|1,272
DATA|BK17|Sheepshead Bay-Gerritsen Bch-Manhattan Bch|***EMPLOYMENT STATUS|51,610|29,463|29,463|26,811|2,652|0|22,147|29,463||28,041|14,404|14,404|13,180|3,838|2,693|7,233|4,718|***OCCUPATION|26,811|11,525|4,198|6,251|1,795|3,042|***INDUSTRY|26,811|17|1,397|1,177|862|2,643|2,271|602|2,651|2,805|8,057|1,504|1,431|1,394|***CLASS OF WORKER|26,811|20,167|5,272|1,353|19|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|25,070|3,036|1,701|2,598|2,596|2,590|3,762|2,920|3,727|1,153|987|17,529|7,132|3,941|2,089|1,016|4,271|16,523|1,129|698|1,497|1,588|1,628|2,552|2,308|3,231|963|929|8,547|***HEALTH INSURANCE COVERAGE|61,288|57,555|41,178|22,609|3,733|11,284|349|38,792|28,167|25,662|24,239|21,990|2,710|1,423|2,505|1,971|1,101|950|534|10,625|9,402|5,526|4,491|1,223
DATA|BK25|Homecrest|***EMPLOYMENT STATUS|32,922|18,402|18,402|16,644|1,758|0|14,520|18,402||16,714|7,793|7,793|6,893|3,135|1,128|6,673|3,212|***OCCUPATION|16,644|6,011|3,203|4,763|1,301|1,366|***INDUSTRY|16,644|14|1,025|733|832|2,397|901|286|1,618|1,959|4,307|1,261|831|480|***CLASS OF WORKER|16,644|13,800|1,598|1,246|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|15,435|1,379|987|1,904|1,494|2,647|2,874|1,519|1,624|495|512|11,016|4,689|2,338|1,316|366|2,207|10,589|439|440|976|1,032|1,916|2,224|1,196|1,439|438|489|4,846|***HEALTH INSURANCE COVERAGE|41,893|37,865|25,947|15,722|4,028|10,136|186|24,789|17,654|15,942|13,680|11,437|2,564|2,262|1,712|1,131|620|546|581|7,135|6,273|4,189|2,323|862
DATA|BK44|Madison|***EMPLOYMENT STATUS|32,672|19,007|18,995|17,747|1,248|12|13,665|18,995||16,958|8,466|8,466|7,954|2,939|1,362|5,262|2,885|***OCCUPATION|17,747|7,076|3,093|4,547|1,246|1,785|***INDUSTRY|17,747|14|1,271|1,110|801|1,482|1,041|382|1,978|2,093|5,085|1,408|499|583|***CLASS OF WORKER|17,747|14,137|2,436|1,174|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|15,022|1,156|1,067|1,616|1,346|1,799|2,569|1,554|2,413|885|617|11,482|3,616|1,479|1,330|238|2,315|10,465|294|629|804|999|1,235|1,840|1,277|2,030|791|566|4,557|***HEALTH INSURANCE COVERAGE|39,981|36,923|26,105|13,518|3,058|8,335|214|25,690|18,385|17,200|15,496|13,415|2,359|1,704|1,185|846|458|427|339|7,305|6,548|4,182|2,609|757
DATA|BK79|Ocean Hill|***EMPLOYMENT STATUS|23,392|14,045|14,045|12,339|1,706|0|9,347|14,045||13,275|7,860|7,860|7,042|2,936|1,743|5,840|4,002|***OCCUPATION|12,339|3,013|3,913|3,322|1,090|1,001|***INDUSTRY|12,339|3|730|272|91|1,168|1,275|220|863|1,145|4,286|632|792|862|***CLASS OF WORKER|12,339|8,787|3,184|368|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|11,686|2,331|1,120|1,368|1,094|1,871|1,762|781|849|273|237|8,275|2,516|1,245|937|1,035|3,932|7,869|1,400|494|950|745|1,202|1,263|621|762|237|195|3,817|***HEALTH INSURANCE COVERAGE|31,779|27,314|15,131|14,922|4,465|9,246|439|19,392|13,498|11,845|9,807|8,011|2,218|2,038|1,653|1,091|272|833|562|5,894|4,495|1,744|3,167|1,399
DATA|BK81|Brownsville|***EMPLOYMENT STATUS|40,744|21,257|21,221|17,833|3,388|36|19,487|21,221||25,740|13,479|13,479|11,674|5,276|3,060|10,003|6,829|***OCCUPATION|17,833|3,719|6,439|4,541|1,034|2,100|***INDUSTRY|17,833|11|671|711|61|1,780|1,960|234|1,090|1,322|6,762|1,124|921|1,186|***CLASS OF WORKER|17,833|12,601|4,543|689|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|20,316|5,049|2,386|2,898|2,476|2,465|2,490|1,177|1,016|283|76|13,366|4,739|1,766|2,264|1,863|7,961|14,001|2,744|1,445|2,202|1,932|1,659|1,684|1,086|898|275|76|6,315|***HEALTH INSURANCE COVERAGE|55,202|48,083|23,530|29,463|7,119|16,775|940|32,970|20,523|17,191|14,269|10,775|4,196|2,922|3,332|2,441|592|1,935|891|12,447|10,171|3,728|7,657|2,276
DATA|BK85|East New York (Pennsylvania Ave)|***EMPLOYMENT STATUS|21,316|13,023|12,980|10,804|2,176|43|8,293|12,980||12,444|7,331|7,316|6,169|2,949|1,683|6,000|3,772|***OCCUPATION|10,804|1,895|4,393|2,554|643|1,319|***INDUSTRY|10,804|8|606|226|114|1,192|1,136|130|560|1,198|3,715|794|522|603|***CLASS OF WORKER|10,804|8,325|2,056|423|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|9,841|2,335|891|1,262|924|1,333|1,324|774|825|114|59|7,297|1,681|708|831|1,038|3,619|7,255|1,565|590|974|714|855|1,098|600|686|114|59|2,586|***HEALTH INSURANCE COVERAGE|29,811|25,306|11,780|15,195|4,505|9,921|501|17,928|12,413|10,358|8,342|6,406|2,234|2,016|2,055|1,333|287|1,084|722|5,515|4,305|1,262|3,361|1,210
